연번,원문,이지리드 문장,시각자료,명칭,검색어
,,,그림,"유리한 정상(동종 전과 없음, 성폭력)",
99,동종 성폭력 전과가 없다.,이전에 성폭력을 저지른 적이 없다.,,,-
,,,그림,"유리한 정상(동종 전과 없음, 성범죄)",
100,동종 성범죄 전과가 없다.,이전에 성범죄를 저지른 적이 없다.,,,-
,,,,,
,,,,,
연번,원문,이지리드 문장,시각자료,명칭,검색어
,,,그림,"유리한 정상(동종 전과 없음, 강간)",
101,동종 강간 전과가 없다.,이전에 강간을 저지른 적이 없다.,,,-
,,,그림,"유리한 정상(동종 전과 없음, 강제추행)",
102,동종 강제추행 전과가 없다.,이전에 강제추행을 한 적이 없다.,,,-
,,,그림,"유리한 정상(동종 전과 없음, 공무집행 방해)",
103,동종 공무집행방해 전과가 없다.,이전에 공무집행방해를 한 적이 없다.,,,경찰
,,,그림,"유리한 정상(동종 전과 없음, 기물파손)",
104,동종 기물파손 전과가 없다.,이전에 기물을 망가뜨린 적이 없다.,,,물건
,,,그림,,
,동종 방화 전과가 없다.,이전에 일부러 불을 지른 적이 없다.,,"유리한 정상(동종 전과 없음, 방화)",
105,,,,,불
,,,그림,"유리한 정상(동종 전과 없음, 사기)",
106,동종 사기 전과가 없다.,이전에 사기를 친 적이 없다.,,,돈
,,,그림,,
107,동종 상해 전과가 없다.,이전에 다른 사람을 다치게 한 적이 없다.,,"유리한 정상(동종 전과, 상해)",폭행
,,,,,
,,,,,
연번,원문,이지리드 문장,시각자료,명칭,검색어
,,,그림,"유리한 정상(동종 전과 없음, 영업방해)",
108,동종 영업방해 전과가 없다.,이전에 영업방해를 한 적이 없다.,,,영업
,,,그림,"유리한 정상(동종 전과 없음, 절도)",
109,동종 절도 전과가 없다.,이전에 물건을 훔친 적이 없다.,,,물건
,,,그림,,
,동종 절도 전과가 없 다.,이전에 은행에서 돈을 훔친 적 이 없다.,,"유리한 정상(동종 전과 없음, 절도, ATM)",
110,,,,,"은행, 금전"
,,,그림,"유리한 정상(동종 전과 없음, 절도, 차량)",
111,동종 절도 전과가 없 다.,이전에 물건을 훔쳐 차에 실은 적이 없다.,,,"차, 물건"
,,,그림,"유리한 정상(동종 전과 없음, 절도, 핸드폰)",
112,동종 절도 전과가 없 다.,이전에 카페에서 핸드폰을 훔 친 적이 없다.,,,"카페, 물건"
,,,그림,"유리한 정상(동종 전과 없음, 주거침입 1)",
113,동종 주거침입 전과가 없다.,이전에도 집에 허락없이 들어갔다.,,,"집, 무단, 허락"
,,,그림,"유리한 정상(동종 전과 없음, 주거침입 2)","집, 무단,"
114,동종 주거침입 전과가 없다.,이전에도 집에 들어가겠다고 계속 문을 두드리고 벨을 눌렀다.,,,"초인종, 문, 소음, 벨"
,,,,,
,,,,,
연번,원문,이지리드 문장,시각자료,명칭,검색어
,,,그림,"유리한 정상(동종 전과 없음, 주거침입 3)",
115,동종 주거침입 전과가 없다.,이전에도 몰래 뒤따라 가다 집까지 따라 들어갔다.,,,"집, 무단, 스토킹"
,,이전에도 층간소음으로 힘들다며 집에 허락없이 들어왔다.,그림,"유리한 정상(동종 전과 없음, 주거침입 4)","집, 무단, 허락, 층간소음"
116,동종 주거침입 전과가 없다.,,,,
,,,그림,"유리한 정상(동종 전과 없음, 주거침입 5)",
117,동종 주거침입 전과가 없다.,이전에도 베란다를 통해 몰래 들어갔다.,,,"집, 무단, 베란다"
,,,그림,"유리한 정상(동종 전과 없음, 준강간)",
118,동종 준강간 전과가 없다.,이전에 준강간을 저지른 적이 없다.,,,-
,,,그림,"유리한 정상(동종 전과 없음, 사기)",
119,동종 사기 전과가 없다.,이전에 사기를 저지른 적이 없다.,,,-
,,,그림,"유리한 정상(동종 전과 없음, 특수절도, 야간침입)",
120,동종 특수절도 전과가 없다.,이전에 다른 사람 집에 몰래 들어가 물건을 훔친 적이 없다.,,,"집, 물건"
,,,그림,"유리한 정상(동종 전과, 특수절도, 흉기)",
121,동종 특수절도 전과가 없다.,이전에 흉기를 가지고 다른 사람의 물건을 훔친 적이 없다.,,,"칼, 물건"
,,,그림,"유리한 정상(동종 전과 없음, 특수절도, 공동범행)",
122,동종 특수절도 전과가 없다.,이전에 다른 사람과 함께 물건을 훔친 적이 없다.,,,물건
,,,,,
,,,,,
연번,원문,이지리드 문장,시각자료,명칭,검색어
,,,그림,"유리한 정상(동종 전과 없음, 특수절도, 협박)",
123,동종 협박 전과가 없다.,이전에 다른 사람을 협박한 적이 없다.,,,-
,,,그림,,
124,최근 수년 간 아무런 전과가 없다.,최근 몇년 동안 바르게 살았다.,,유리한 정상(최근 전과 없음),범죄
,피고인은 과거에 유사한 범죄를 두 차례 저지른 전력이 있다.,,그림,,
125,,옛날에 비슷한 범죄를 2번 저질렀다.,,불리한 정상(동종 전과 2건),"범죄, 2번"
,,,그림,,
126,피고인은 과거에 유사한 범죄를 3차례 저지른 전력이 있다.,옛날에 비슷한 범죄를 3번 저질렀다.,,불리한 정상(동종 전과 3건),"범죄, 3번"
,피고인은 과거에 유사한 범죄를 여러 번 저지른 전력이 있다.,,그림,불리한 정상(동종 전과 여러 건),
127,,옛날에 비슷한 범죄를 여러 번 저질렀다.,,,"범죄, 여러 번, 수건, 다수"
,,,그림,"불리한 정상(동종 전과, 보이스 피싱)",
128,피고인은 동종 범죄인 보이스피싱 사기 전과가 있다.,이전에도 보이스피싱을 한 적이 있다.,,,"은행, 금전"
,,이전에도 횡령죄를 저지른 적이 있다.,그림,,
129,피고인은 동종 범죄인 횡령 전과가 있다.,*횡령죄 : 다른 사람의 재산을 관리하는 사람이 몰래 재산을 빼돌리는 것,,"불리한 정상(동종 전과, 횡령)","공금, 금전"
,,,,,
,,,,,
연번,원문,이지리드 문장,시각자료,명칭,검색어
,,,그림,,
130,피고인은 동종 범죄인 강도 전과가 있다.,이전에도 강도짓을 했다.,,"불리한 정상(동종 전과, 강도)",폭행
